url,name,description,tags,accepted_groups
https://getinvolved.tamu.edu/org/3002,3002,"While the Legacy Conference is led by Bush School students in College Station and Washington, D.C., membership and meaningful involvement is open to any Texas A&M student that is inspired to pursue a career in public service and wants to network with other civic minded public servants connected to Texas A&M. Meetings will be open to members by video conferencing.","Aggie network, Bush School, professional development, professional networking, public service","Undergraduate Students, Professional Students, Graduate Students, Part-Time Students, Distance/Remote Students, Faculty/Staff"
https://getinvolved.tamu.edu/org/esports,esports,"To create a welcoming, remarkable, and fulfilling environment for video game enthusiasts, while spearheading the collegiate esports sector by empowering our esports teams.","esports, games","Undergraduate Students, Professional Students, Graduate Students, Blinn Team Students, Distance/Remote Students"
https://getinvolved.tamu.edu/org/photography-club,photography-club,This organization is aimed towards A&M students who enjoy photography and taking pictures as a lifestyle. A&M Photography Club provides a more interconnected campus social network through photo sharing and collaboration among A&M students and A&M student groups while promoting awareness of the enriching opportunities available to all students. We intend to enrich the Aggie experience by organizing a photography network of students who enjoy taking pictures and making their photos easily accessible for the enjoyment of everyone in the A&M community.,"collaboration, photography, social networking","Undergraduate Students, Professional Students, Graduate Students, Part-Time Students, Faculty/Staff"
https://getinvolved.tamu.edu/org/1st-wing,1st-wing,The Wing will be composed of well-supported and connected outfits that operate to fosteran environment that pushes the individual and unit towards a disciplined lifestyle andcompetitive improvement.,"competition, personal discipline",Undergraduate Students
https://getinvolved.tamu.edu/org/2vd,2vd,"To provide a space where those with a shared interest in comics, animation, graphic novels, and concept art can come together and create.","animation, comics, concept art, creativity, visual developers, writing","Undergraduate Students, Graduate Students, Blinn Team Students, Part-Time Students, Non-TAMU Individuals"
https://getinvolved.tamu.edu/org/amumc-college-ministry,amumc-college-ministry,We strive to build connections with fellow students and fellow disciples of Christ.,"campus ministries, Christian, connections, disciples, Methodist","Undergraduate Students, Professional Students, Graduate Students, Blinn Team Students, Part-Time Students, Distance/Remote Students, Faculty/Staff, Non-TAMU Individuals"
https://getinvolved.tamu.edu/org/3batt,3batt,Third Brigade promotes a people-centric organization that cultivates engaged cadets focused on professional development and proactively pursuing success.,"Corps of Cadets, professional development",Undergraduate Students
https://getinvolved.tamu.edu/org/3rd-wing,3rd-wing,"Third Wing prioritizes developing all cadets into purposeful leaders that are intentional in their actions. This will be accomplished by establishing an atmosphere that prioritizes respecting those around you, operating with integrity, and upholding high moral values. All members of Third Wing will strive to not only better themselves, but those they are leading, every single day. Members of Third Wing will also work towards achieving the mission of the Corps of Cadets: ""The Corps of Cadets develops well-educated leaders of character prepared for the global leadership challenges of the future.""","character development, Corps of Cadets, global issues, integrity, leadership, morals","Undergraduate Students, Graduate Students"
https://getinvolved.tamu.edu/org/111,111,"A-Company is one of the six companies that make up the Aggie Band in the Corps of Cadets. Our outfit will build men and women of character who relentlessly pursue their development as scholars, professionals, and leaders. We believe that integrity cannot be bought, excellence is achieved by hard work, and service to others before self is honorable.","band, character development, Corps of Cadets, leadership, professional development, service",
https://getinvolved.tamu.edu/org/180-degrees,180-degrees,180 Degrees Consulting's aim is to make a global social impact by enabling intelligent young people from around the world to provide advice to socially oriented organizations to help them solve their biggest challenges.,"advising, challenges, consulting, global, social impact",Undergraduate Students
https://getinvolved.tamu.edu/org/103,103,"2nd Group Staff's purpose is to lead and support Squadrons 1, 12, 16, 18, and 21 as they train and develop well-educated leaders within the Corps of Cadets.","Corps of Cadets, leadership, support",Undergraduate Students
https://getinvolved.tamu.edu/org/tamu6thbatt,tamu6thbatt,6th Battalion strives to be the most competitive Battalion in the Corps by leveraging every cadet and student capability for victory and fostering an environment where its members feel part of a genuine team equipped for the military or civilian world.,"competition, Corps of Cadets, leadership, military",
https://getinvolved.tamu.edu/org/1stbatt,1stbatt,"First Battalion Staff is a part of the Texas A&M Corps of Cadets System. First Battalion Staff supports/oversees Companies A-2, B-1, F-2, and L-1.",Corps of Cadets,Undergraduate Students
https://getinvolved.tamu.edu/org/aspira,aspira,"This organization aims to empower students with theresearch skills,knowledge, andopportunities. By offering practicalworkshops,networkingsessions, andprofessionaldevelopmentactivities, A&M Students Promoting Innovation and Research Advancement (ASPIRA) fosters academic excellence, leadership skills, andresearch readiness. We welcome all students seeking to learn, grow, and serve in research experiences at Texas A&M University. General meetings on1st and 3rd Tuesdays @ MSC L-427.","academia, academic excellence, innovation, leadership development, professional development, professional networking, research, workforce readiness, workshops","Undergraduate Students, Blinn Team Students"
https://getinvolved.tamu.edu/org/1st-brigade,1st-brigade,First Brigade develops well-educated leaders of character that are prepared for the global leadership challenges of the future and act as the premier example to peers across all domains.,"character development, education, global issues, leadership",
https://getinvolved.tamu.edu/org/12th-law-man,12th-law-man,"The purpose of the 12th Law Man is to preserve and promote the traditions of Texas A&M University School of Law through outreach and education. The 12th Law Man will seek to encourage the unity of our student body by providing opportunities for students to be involved in many of the time honored traditions of the Texas A&M University system, as well as traditions unique to the Texas A&M University School of Law.",,Professional Students
https://getinvolved.tamu.edu/org/1st-regiment,1st-regiment,To support the mission of the Corps of Cadets using the ethos of the Navy/Marine Corps team as a reference. We are the Navy/Marine Corps section of the Corps.,"Corps of Cadets, military",
https://getinvolved.tamu.edu/org/4grp,4grp,"The 4th Group Staff within the Corps of Cadets cultivates leaders of distinction who exemplify values of Honor, Courage, Integrity, Discipline, and Selfless Service. 4th Group Staff focuses on promoting excellence and nurturing authentic leaders for the public and private sector.","Corps of Cadets, courage, excellence, honor, integrity, leadership, personal discipline, private sector, public sector, selfless service","Undergraduate Students, Graduate Students"
https://getinvolved.tamu.edu/org/a-battery,a-battery,A-Battery is a history-rich network of distinguished leaders who forge paths for others to succeed.,"Aggie traditions, career development, community service, Corps of Cadets, leadership development, servant leadership, service events","Undergraduate Students, Graduate Students, Blinn Team Students, Part-Time Students"
https://getinvolved.tamu.edu/org/2bde,2bde,"Develop Well Educated Leaders of Character, Honor and Integrity- prepared to ""Answer the Call"".","character development, honor, integrity, leadership","Undergraduate Students, Blinn Team Students"
https://getinvolved.tamu.edu/org/3reg,3reg,The purpose of 7th Battalion is to provide a more concentrated executive structure to satisfy the mission of the Corps of Cadets: The Corps of Cadets develops well-educated leaders of character prepared for the global leadership challenges of the future.,"character development, Corps of Cadets, executive structure, global issues, leadership","Undergraduate Students, Professional Students, Graduate Students, Blinn Team Students, Part-Time Students"
https://getinvolved.tamu.edu/org/the-12th-can,the-12th-can,"The 12th Can Food Pantry intends to eliminate food insecurity on campus for students, faculty, and staff at Texas A&M University and to show others the power of the Aggie Spirit. The 12th Can provides an essential resource for Aggies on-campus, now more than ever.","food donation, food insecurity, nonprofit, selfless service, volunteering","Undergraduate Students, Graduate Students, Blinn Team Students, Part-Time Students, Distance/Remote Students"
https://getinvolved.tamu.edu/org/5thbatt,5thbatt,"5th Battalion Staff's purpose is to provide guidance and direction for members of the Corps of Cadets within 5th Battalion. Battalion Staff serves as a liason for the NROTC Staff, the Commandants Office, and the Corps Commander in the distribution and implementation of policies and directives. 5th Battalion is comprised of companies G-2, P-2, and S-1.","Corps of Cadets, leadership, military, ROTC",
https://getinvolved.tamu.edu/org/520,520,"First Group will provide guidance, resources, and assistance to its outfits to enable them to carry out the Corps Mission of developing well-educated leaders of character who are prepared for the global challenges of the future.","character development, global issues, leadership, resources","Undergraduate Students, Professional Students, Graduate Students"
https://getinvolved.tamu.edu/org/aggie-belles,aggie-belles,"Aggie Belles is a women's organization that unites and develops female leaders across campus through service opportunities, philanthropy and social events.","leadership, philanthropy, service, social events",
https://getinvolved.tamu.edu/org/abmc,abmc,"The mission of ABMC is to develop a sense of mattering and connection to the institution, work together toward a common purpose, and serve as role models and build community with other Black males on campus.","Black students, connections, role models","Undergraduate Students, Professional Students, Graduate Students"
https://getinvolved.tamu.edu/org/agdfellowtrack,agdfellowtrack,Student members can acquire continuing education credits for attending Academy of General Dentistry FellowTrack meetings that count towards a future fellowship in the AGD. AGD Fellowtrack hosts different lecturers on a variety of interesting topics in general dentistry. Members will receive dinner at every meeting.,,
https://getinvolved.tamu.edu/org/ftab,ftab,To develop bandsmen who are well-educated leaders of character that represent Texas A&M University honorably and respectfully on and off the drill field.,"band, character development, leadership, music",Undergraduate Students
